request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_58,10599089.72,affordable_later,wait,2025-01-07:16226000,2025-01-07,none,"Pay IDR 16,226,000 in full on 7 January 2025. Paying earlier would take the balance below the IDR 14,433,900 minimum."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,0,affordable_later,wait,2026-04-06:199.89,2026-04-06,none,Pay USD 199.89 in full on 6 April 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,38324.47,affordable_with_plan,partial_payment,2026-07-07:38324.47|2026-09-15:305575.53,2026-09-15,none,"Pay INR 38,324.47 today and the remaining INR 305,575.53 on 15 September 2026. This completes the full request and keeps the INR 153,500 minimum protected."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,387.47,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Pay USD 2,094 in full on 15 September 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1335.23,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,49461.07,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,151357.51,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 151,357.51 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,12811.96,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 28,270 request. Although ZAR 12,811.96 is available today, the full amount cannot be completed safely within 90 days."
request_76,0,not_affordable,not_recommended,none,2024-07-03,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,59761.08,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Pay INR 60,700 in full on 15 November 2025. Paying earlier would take the balance below the INR 82,200 minimum."
request_78,45572.41,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Pay INR 50,200 in full on 15 October 2025. Paying earlier would take the balance below the INR 55,200 minimum."
request_79,688.49,affordable_with_plan,partial_payment,2024-09-04:721.49|2024-10-15:1430.11,2024-11-15,stop:event_7345,"Stop the video streaming plan, then pay EUR 721.49 today and the remaining EUR 1,430.11 on 15 October 2024. This keeps the EUR 1,000 minimum protected."
request_80,16389.14,not_affordable,not_recommended,none,2025-04-06,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,0,affordable_later,wait,2025-03-05:1405.20,2025-03-05,none,"Pay USD 1,405.20 in full on 5 March 2025. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,28230.71,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10701.68,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9259092.53,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,423.90,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,27659.42,affordable_later,wait,2025-03-05:34034,2025-03-05,none,"Pay ZAR 34,034 in full on 5 March 2025. Paying earlier would take the balance below the ZAR 28,100 minimum."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,13626.92,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 13,626.92 is available today, the full amount cannot be completed safely within 90 days."
request_96,73876.68,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,1473.04,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,8198.09,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,17863.67,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,stop:event_9188,"Stop the family streaming plan, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,25215.83,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,8403.64,affordable_later,wait,2025-04-04:17204,2025-04-04,none,"Pay ZAR 17,204 in full on 4 April 2025. Paying earlier would take the balance below the ZAR 24,700 minimum."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the EUR 1,200 minimum protected."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,0,affordable_later,wait,2026-09-07:55308,2026-09-07,none,"Pay ZAR 55,308 in full on 7 September 2026. Paying earlier would take the balance below the ZAR 24,100 minimum."
request_109,660.54,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,24368.71,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,0,affordable_later,wait,2026-04-04:65300,2026-04-04,none,"Pay INR 65,300 in full on 4 April 2026. Paying earlier would take the balance below the INR 113,400 minimum."
request_115,14444.65,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,7858.01,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 7,858.01 is available today, the full amount cannot be completed safely within 90 days."
request_117,856.07,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833|reduce_to:event_10878:20.50,"Stop the family streaming plan and reduce the weekend food delivery to eur 20.50, then pay EUR 880 today. This leaves at least EUR 1,000 available."
request_118,287.49,not_affordable,not_recommended,none,2025-03-07,none,Do not make this payment by 8 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2025. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1395.81,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 today. This leaves at least ZAR 11,300 available over the next 90 days."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 October 2024. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 February 2025. None of the available options keeps the ZAR 42,600 minimum protected."
request_129,107.86,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 107.86 is available today, the full amount cannot be completed safely within 90 days."
request_130,0,affordable_later,wait,2025-03-06:1978.80,2025-03-06,none,"Pay USD 1,978.80 in full on 6 March 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1181.18,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-23,reduce_to:event_12065:21.20,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,0,affordable_later,wait,2026-04-05:379.86,2026-04-05,none,"Pay USD 379.86 in full on 5 April 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4931271.88,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Pay IDR 21,831,000 in full on 15 August 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,281.54,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413|reduce_to:event_12458:17.50,"Stop the video streaming plan and reduce the lunch with colleagues to usd 17.50, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,529.12,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce the household shopping to usd 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,25118.77,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,1010.11,affordable_with_plan,partial_payment,2026-04-07:1010.11|2026-04-15:246.83,2026-04-15,none,"Pay EUR 1,010.11 today and the remaining EUR 246.83 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1799.77,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available."
request_140,1496.22,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 1,496.22 is available today, the full amount cannot be completed safely within 90 days."
request_141,22473.70,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 22,473.70 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,3047.81,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,231.32,affordable_with_plan,full_payment,2026-07-04:233.34,2026-08-15,stop:event_13239,"Stop the audio streaming plan, then pay USD 233.34 today. This leaves at least USD 600 available."
request_145,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 May 2024. None of the available options keeps the INR 155,400 minimum protected."
request_146,13581.33,affordable_later,wait,2025-10-15:449400,2025-10-15,none,"Pay INR 449,400 in full on 15 October 2025. Paying earlier would take the balance below the INR 108,600 minimum."
request_147,0,not_affordable,not_recommended,none,,none,Do not make this payment by 7 June 2026. None of the available options keeps the EUR 900 minimum protected.
request_148,7209.77,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,stop:event_13592,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,24538.85,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,0,not_affordable,not_recommended,none,2026-04-06,none,Do not make this payment by 16 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_151,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 September 2024. None of the available options keeps the IDR 31,633,600 minimum protected."
request_152,11885.32,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,stop:event_13957|reduce_to:event_14024:234.30,"Use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 11,900 available."
request_153,67.12,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 67.12 is available today, the full amount cannot be completed safely within 90 days."
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,15376.66,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 112,500 request. Although INR 15,376.66 is available today, the full amount cannot be completed safely within 90 days."
request_156,9643.53,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 15,714,100 minimum protected."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 August 2024. None of the available options keeps the EUR 1,200 minimum protected."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,1496150.94,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 1,496,150.94 is available today, the full amount cannot be completed safely within 90 days."
request_163,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,18821455.46,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-03-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,73375.24,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15135,"Stop the video streaming plan, then pay INR 80,600 today. This leaves at least INR 95,000 available."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,0,not_affordable,not_recommended,none,2026-04-07,none,"Do not make this payment by 16 March 2026. None of the available options keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,30775323.70,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,35.48,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 35.48 is available today, the full amount cannot be completed safely within 90 days."
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5,304, starting 5 June 2024. This leaves at least ZAR 27,200 available."
request_173,63536.02,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,1095.42,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,stop:event_15974|reduce_to:event_15976:16.80,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,1625.78,affordable_later,wait,2024-11-06:2346.30,2024-11-06,none,"Pay EUR 2,346.30 in full on 6 November 2024. Paying earlier would take the balance below the EUR 1,700 minimum."
request_176,0.69,affordable_later,wait,2025-03-03:1239.70,2025-03-03,none,"Pay EUR 1,239.70 in full on 3 March 2025. Paying earlier would take the balance below the EUR 600 minimum."
request_177,164.40,affordable_later,wait,2026-04-05:1017.60,2026-04-05,none,"Pay USD 1,017.60 in full on 5 April 2026. Paying earlier would take the balance below the USD 1,300 minimum."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,22042715.59,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,295.02,affordable_later,wait,2024-05-15:5059.20,2024-05-15,none,"Pay USD 5,059.20 in full on 15 May 2024. Paying earlier would take the balance below the USD 2,000 minimum."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,22935931.80,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,stop:event_16814,"Use 3 installments of IDR 9,313,546.67, starting 10 April 2026. This leaves at least IDR 11,878,300 available."
request_184,7581.89,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 7,581.89 is available today, the full amount cannot be completed safely within 90 days."
request_185,419.04,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,790.06,affordable_later,wait,2026-04-03:26554,2026-04-03,none,"Pay ZAR 26,554 in full on 3 April 2026. Paying earlier would take the balance below the ZAR 22,000 minimum."
